Line Item,Fiscal Year,Amount
Total Revenue,2022,226954
Total Revenue,2021,195929
Total Revenue,2020,166761
Total Revenue,2019,152703
Total Revenue,2018,141576
Gross Profit,2022,27572
Gross Profit,2021,25245
Gross Profit,2020,21822
Gross Profit,2019,19817
Gross Profit,2018,18424
Operating Income,2022,7793
Operating Income,2021,6708
Operating Income,2020,5435
Operating Income,2019,4737
Operating Income,2018,4480
Net Income,2022,5844
Net Income,2021,5007
Net Income,2020,4002
Net Income,2019,3659
Net Income,2018,3134
